Date,Discipline,Points,Innings,Highest Run,Adversary,Competition,Outcome
2024-09-05,3-banden - Match biljart,30,33,6,,NIDM,won
2024-09-11,3-banden - Match biljart,26,31,6,,NIDM,lost
2024-09-18,3-banden - Match biljart,30,46,5,,NIDM,won
2024-10-01,3-banden - Match biljart,30,42,5,,NIDM,won
2024-10-07,3-banden - Match biljart,30,37,5,,NIDM,won
2024-10-17,3-banden - Match biljart,30,42,3,,NIDM,won
2024-10-22,3-banden - Match biljart,30,44,3,,NIDM,won
2024-11-14,3-banden - Match biljart,20,34,3,,NIDM,lost
2024-11-18,3-banden - Match biljart,30,21,11,,NIDM,won
2024-11-26,3-banden - Match biljart,26,23,4,,NIDM,lost
2024-12-12,3-banden - Match biljart,30,38,4,,NIDM,won
2025-01-14,3-banden - Match biljart,29,37,3,,NIDM,lost
2025-01-23,3-banden - Match biljart,27,42,9,,NIDM,lost
2025-01-25,3-banden - Match biljart,17,19,4,,NIDM,lost
2025-02-06,3-banden - Match biljart,30,36,4,,NIDM,won
2025-02-13,3-banden - Match biljart,23,36,3,,NIDM,lost
2025-02-18,3-banden - Match biljart,30,35,4,,NIDM,won
2025-02-27,3-banden - Match biljart,21,28,5,,NIDM,lost
2025-03-12,3-banden - Match biljart,30,30,5,,NIDM,won
2025-03-20,3-banden - Match biljart,28,28,4,,NIDM,lost
2025-04-17,3-banden - Match biljart,30,41,4,,NIDM,won
