Date,Discipline,Points,Innings,Highest Run,Adversary,Competition,Outcome
2022-09-15,3-banden - Match biljart,21,42,3,,NIDM,lost
2022-09-22,3-banden - Match biljart,22,36,5,,NIDM,lost
2022-09-29,3-banden - Match biljart,30,31,5,,NIDM,won
2022-10-06,3-banden - Match biljart,22,27,5,,NIDM,lost
2022-10-13,3-banden - Match biljart,30,34,3,,NIDM,won
2022-10-20,3-banden - Match biljart,30,51,3,,NIDM,won
2022-11-03,3-banden - Match biljart,17,38,4,,NIDM,lost
2022-11-10,3-banden - Match biljart,27,40,3,,NIDM,lost
2022-11-17,3-banden - Match biljart,30,45,5,,NIDM,won
2022-11-24,3-banden - Match biljart,14,28,4,,NIDM,lost
2023-01-12,3-banden - Match biljart,30,25,5,,NIDM,won
2023-01-19,3-banden - Match biljart,30,28,6,,NIDM,won
2023-01-26,3-banden - Match biljart,28,39,4,,NIDM,lost
2023-02-02,3-banden - Match biljart,30,34,7,,NIDM,won
2023-02-09,3-banden - Match biljart,30,29,7,,NIDM,won
2023-02-16,3-banden - Match biljart,30,29,3,,NIDM,won
2023-03-02,3-banden - Match biljart,30,39,5,,NIDM,won
2023-03-09,3-banden - Match biljart,30,45,5,,NIDM,won
2023-03-16,3-banden - Match biljart,30,33,6,,NIDM,won
2023-03-23,3-banden - Match biljart,22,30,3,,NIDM,lost
